HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6,JUNE.1,Unnamed: 8,CUMULATIVE FROM JULY.1,Unnamed: 10
,,,QUANTITY,VALUE,QUANTITY,VALUE,QUANTITY,VALUE,QUANTIT,VALUE
3033300,SOLE FLAT FISH EXCL LIVER FROZ,KG,,,264762,65922,,,307761,78341
,China,,,,10120,1303,,,28506,5056
,Kuwait,,,,,,,,3490,756
,Qatar,,,,,,,,400,134
,Viet Nam,,,,254642,64619,,,275365,72396
3033900,"OTH FLAT FISH,EXCL LIVERS FROZ",KG,3240426,773971,64341135,14815635,2822996,610468,45676199,10256933
,Afghanistan,,,,,,,,3855,1513
,Albania,,,,91580,23284,,,24840,9482
,Australia,,,,8120,1666,,,,
,Bahrain,,22455,6287,300616,88934,49560,10043,98430,24618
,Bangladesh,,47500,8550,202983,37945,189630,6277,484185,42593
,Brunei Darussalam,,,,26382,8302,,,,
,Canada,,,,66352,21070,6048,2047,52541,16952
,China,,586946,122785,8555362,1759088,255002,57230,5172213,1133700
,Egypt(U.A.R.),,,,10000,2816,,,137100,17836
,Fiji,,,,,,,,24500,4303
,Greece,,,,,,,,16250,8075
,Hong Kong S.A.Re.Chi,,1110,430,160791,64946,3021,1502,52294,28064
,Indonesia,,,,900576,227556,22011,5285,840191,190981
,Iraq,,9650,2519,160385,44687,,,165430,12559
,Italy,,,,9150,3114,,,,
,Japan,,,,154990,47646,11610,2424,358814,80758
,Jordan,,870,229,25857,8697,1265,396,51455,16521
,"Korea, Republic of",,113282,31113,869104,254448,78914,22510,2419518,705289
,Kuwait,,47087,14671,606341,203663,47771,13605,1271608,231421
,Lebanon,,,,71856,22399,,,22370,9416
,Malaysia,,208525,49493,3794412,878530,184872,44186,2705697,683473
,Mauritius,,,,28725,9955,5360,2208,38520,14815
,Myanmar,,,,146534,34163,,,,
,O.Asia(Tai.For.Pe.Ki,,100510,29232,705151,189646,12320,1927,249228,42115
,Oman,,9498,3332,68175,18072,,,1570,701
,Philippines,,,,12500,3287,,,,
,Qatar,,16332,5188,606905,176131,61839,18497,545987,167630
,Samoa,,,,60300,11014,,,,
,Saudi Arabia,,164292,38734,2356614,647749,75609,19503,1426075,409136
,Singapore,,,,163004,45101,10500,2088,144242,38085
,South Africa,,,,23587,3675,12022,1818,31822,5320
,Spain,,,,,,,,23844,9297
,Sri Lanka,,,,1291687,254344,270215,54019,1048941,183593
,Thailand,,60778,13125,13138333,2708978,361145,77745,6752463,1329768
,Turkey,,,,66718,15141,,,,
,U.R.of Tanzania,,,,6000,1987,,,53378,7078
,U.S.America,,102000,42113,214263,86359,,,120343,43828
,United Arab Emirates,,289645,76752,3472591,1044106,102516,22086,2209251,647718
,United Kingdom,,,,2650,1107,,,,
,Viet Nam,,1459946,329419,25962541,5866031,1061766,245073,19129244,4140297
3034300,SKIPJACK OR STRIPE-BELLIED.FZ,KG,,,6485,2780,,,,
,China,,,,6485,2780,,,,
3034900,OTH TUNAS EXCL LIVER/ROE FROZ,KG,58922,8249,473272,104284,96000,24523,1823428,493631
,Bahrain,,,,24160,5869,,,43628,9575
,Indonesia,,,,,,,,6000,1546
,Japan,,,,,,,,35460,8201
,"Korea, Republic of",,27692,3877,27692,3877,,,187480,40792
,Kuwait,,,,74679,15997,,,76754,16766
,Malaysia,,,,,,,,60515,12943
,O.Asia(Tai.For.Pe.Ki,,,,,,,,23160,5289
,Oman,,,,4635,1043,,,,
,Qatar,,,,17100,4689,,,49326,16765
,Saudi Arabia,,,,51400,9947,24000,6723,564540,170508
,Sri Lanka,,,,,,,,1500,397
,Thailand,,,,10000,1881,,,108255,26195
,U.S.America,,,,19500,6279,,,,
,United Arab Emirates,,31230,4372,224590,49324,72000,17799,666810,184654
,Viet Nam,,,,19515,5379,,,,
3035300,SARDINES EX.LIVER&OES FROZEN,KG,208670,53493,793650,149769,388400,45060,3281630,232222
